Year,HS Code,Description,MFN Duty Rate (%),General Duty Rate (%),General Applies To,Policy Event,Effective Duty on China (%)
2013,85423100,Processors & Controllers,0.0,35.0,"Korea, DPRK",None,0.0
2013,85423200,Memories,0.0,35.0,"Korea, DPRK",None,0.0
2013,85423300,Amplifiers,0.0,35.0,"Korea, DPRK",None,0.0
2013,85423900,Other ICs,0.0,35.0,"Korea, DPRK",None,0.0
2014,85423100,Processors & Controllers,0.0,35.0,"Korea, DPRK",None,0.0
2014,85423200,Memories,0.0,35.0,"Korea, DPRK",None,0.0
2014,85423300,Amplifiers,0.0,35.0,"Korea, DPRK",None,0.0
2014,85423900,Other ICs,0.0,35.0,"Korea, DPRK",None,0.0
2015,85423100,Processors & Controllers,0.0,35.0,"Korea, DPRK",None,0.0
2015,85423200,Memories,0.0,35.0,"Korea, DPRK",None,0.0
2015,85423300,Amplifiers,0.0,35.0,"Korea, DPRK",None,0.0
2015,85423900,Other ICs,0.0,35.0,"Korea, DPRK",None,0.0
2016,85423100,Processors & Controllers,0.0,35.0,"Korea, DPRK",None,0.0
2016,85423200,Memories,0.0,35.0,"Korea, DPRK",None,0.0
2016,85423300,Amplifiers,0.0,35.0,"Korea, DPRK",None,0.0
2016,85423900,Other ICs,0.0,35.0,"Korea, DPRK",None,0.0
2017,85423100,Processors & Controllers,0.0,35.0,"Korea, DPRK",None,0.0
2017,85423200,Memories,0.0,35.0,"Korea, DPRK",None,0.0
2017,85423300,Amplifiers,0.0,35.0,"Korea, DPRK",None,0.0
2017,85423900,Other ICs,0.0,35.0,"Korea, DPRK",None,0.0
2018,85423100,Processors & Controllers,0.0,35.0,"Korea, DPRK",US-China trade war begins (Section 301 tariffs),0.0
2018,85423200,Memories,0.0,35.0,"Korea, DPRK",US-China trade war begins (Section 301 tariffs),0.0
2018,85423300,Amplifiers,0.0,35.0,"Korea, DPRK",US-China trade war begins (Section 301 tariffs),0.0
2018,85423900,Other ICs,0.0,35.0,"Korea, DPRK",US-China trade war begins (Section 301 tariffs),0.0
2019,85423100,Processors & Controllers,0.0,35.0,"Korea, DPRK",None,0.0
2019,85423200,Memories,0.0,35.0,"Korea, DPRK",None,0.0
2019,85423300,Amplifiers,0.0,35.0,"Korea, DPRK",None,0.0
2019,85423900,Other ICs,0.0,35.0,"Korea, DPRK",None,0.0
2020,85423100,Processors & Controllers,0.0,35.0,"Korea, DPRK",US-China trade tensions continue,0.0
2020,85423200,Memories,0.0,35.0,"Korea, DPRK",US-China trade tensions continue,0.0
2020,85423300,Amplifiers,0.0,35.0,"Korea, DPRK",US-China trade tensions continue,0.0
2020,85423900,Other ICs,0.0,35.0,"Korea, DPRK",US-China trade tensions continue,0.0
2021,85423100,Processors & Controllers,0.0,35.0,"Korea, DPRK",None,0.0
2021,85423200,Memories,0.0,35.0,"Korea, DPRK",None,0.0
2021,85423300,Amplifiers,0.0,35.0,"Korea, DPRK",None,0.0
2021,85423900,Other ICs,0.0,35.0,"Korea, DPRK",None,0.0
2022,85423100,Processors & Controllers,0.0,35.0,"Korea, DPRK",None,0.0
2022,85423200,Memories,0.0,35.0,"Korea, DPRK",None,0.0
2022,85423300,Amplifiers,0.0,35.0,"Korea, DPRK",None,0.0
2022,85423900,Other ICs,0.0,35.0,"Korea, DPRK",None,0.0
2023,85423100,Processors & Controllers,0.0,35.0,"Korea, DPRK",None,0.0
2023,85423200,Memories,0.0,35.0,"Korea, DPRK",None,0.0
2023,85423300,Amplifiers,0.0,35.0,"Korea, DPRK",None,0.0
2023,85423900,Other ICs,0.0,35.0,"Korea, DPRK",None,0.0
2024,85423100,Processors & Controllers,0.0,35.0,"Korea, DPRK",None,0.0
2024,85423200,Memories,0.0,35.0,"Korea, DPRK",None,0.0
2024,85423300,Amplifiers,0.0,35.0,"Korea, DPRK",None,0.0
2024,85423900,Other ICs,0.0,35.0,"Korea, DPRK",None,0.0
2025,85423100,Processors & Controllers,0.0,35.0,"Korea, DPRK",White House announces 50% tariff on China-made semiconductors,50.0
2025,85423200,Memories,0.0,35.0,"Korea, DPRK",White House announces 50% tariff on China-made semiconductors,50.0
2025,85423300,Amplifiers,0.0,35.0,"Korea, DPRK",White House announces 50% tariff on China-made semiconductors,50.0
2025,85423900,Other ICs,0.0,35.0,"Korea, DPRK",White House announces 50% tariff on China-made semiconductors,50.0
